sku,inventory_level,historical_sales
ELEC00000,99,"20,22,23,24,27,28,20,23,24,24,28,21"
ELEC00001,139,"20,26,28,31,31,33,25,22,23,29,34,26"
ELEC00002,72,"17,23,27,26,23,28,25,26,24,24,26,30"
ELEC00003,150,"17,24,24,28,25,26,27,23,19,25,29,31"
ELEC00004,61,"23,24,30,30,36,32,31,28,29,28,34,30"
ELEC00005,23,"37,42,40,45,46,45,44,41,40,42,48,46"
ELEC00006,152,"19,24,24,28,26,26,27,26,17,22,24,34"
ELEC00007,174,"41,42,43,49,47,47,44,43,44,37,43,50"
ELEC00008,158,"22,26,29,33,35,28,29,27,31,27,24,26"
ELEC00009,197,"29,34,34,35,40,32,32,34,28,31,26,40"
ELEC00010,88,"40,42,41,42,47,44,44,42,43,48,46,39"
ELEC00011,36,"34,34,41,36,40,39,43,42,34,35,36,42"
ELEC00012,76,"33,35,36,39,42,42,42,36,36,39,32,40"
ELEC00013,24,"12,12,18,16,22,16,15,17,15,11,18,12"
ELEC00014,31,"25,27,32,30,32,32,27,24,25,28,26,35"
ELEC00015,70,"14,15,17,20,22,18,19,18,20,17,20,21"
ELEC00016,196,"39,45,45,49,47,47,49,44,42,42,43,47"
ELEC00017,160,"25,28,29,27,35,32,23,28,28,24,33,32"
ELEC00018,95,"27,28,35,32,33,36,34,28,32,26,37,35"
ELEC00019,198,"30,33,37,40,37,34,35,34,38,36,34,42"
ELEC00020,172,"9,12,16,17,18,15,14,18,13,14,17,24"
ELEC00021,61,"19,25,25,26,30,25,24,25,27,28,26,28"
ELEC00022,64,"34,41,43,43,44,46,40,39,39,41,41,45"
ELEC00023,159,"26,35,36,36,38,39,34,37,31,38,34,41"
ELEC00024,176,"31,39,37,37,40,38,41,38,33,35,42,43"
ELEC00025,80,"14,14,20,17,23,23,16,14,22,17,16,18"
ELEC00026,21,"26,29,34,35,41,37,37,29,32,31,32,37"
ELEC00027,33,"25,27,28,33,34,29,28,25,31,23,33,36"
ELEC00028,65,"31,35,40,38,37,40,35,39,30,28,32,42"
ELEC00029,121,"16,17,24,22,24,20,23,20,17,16,22,28"
ELEC00030,148,"23,25,27,28,30,27,23,24,25,22,23,30"
ELEC00031,176,"20,24,26,28,33,29,31,24,30,31,30,24"
ELEC00032,142,"24,29,36,37,34,37,30,31,25,33,27,36"
ELEC00033,195,"29,33,37,35,38,36,36,32,34,39,38,36"
ELEC00034,175,"19,22,24,29,28,24,25,23,25,24,29,30"
ELEC00035,109,"11,15,19,25,21,19,20,21,23,15,13,27"
ELEC00036,162,"26,30,33,38,33,39,30,35,34,37,36,35"
ELEC00037,121,"25,32,34,33,36,32,30,28,28,30,32,37"
ELEC00038,102,"29,36,33,37,39,37,30,34,31,34,34,40"
ELEC00039,127,"22,30,29,29,30,34,30,27,28,31,35,25"
ELEC00040,39,"31,37,38,36,36,37,39,36,31,30,42,42"
ELEC00041,110,"24,26,29,32,33,32,30,26,26,30,28,27"
ELEC00042,134,"24,28,31,38,35,32,32,36,29,27,34,37"
ELEC00043,109,"9,16,18,23,20,20,19,18,13,18,21,17"
ELEC00044,76,"14,17,19,19,22,21,19,15,20,19,16,31"
ELEC00045,171,"11,14,20,21,23,21,22,18,15,16,17,20"
ELEC00046,46,"32,39,42,40,44,37,39,36,36,42,33,36"
ELEC00047,74,"41,40,46,45,46,42,42,44,41,46,43,45"
ELEC00048,114,"19,26,26,25,24,30,26,26,23,20,20,25"
ELEC00049,94,"14,20,24,25,24,24,21,22,22,21,24,21"
ELEC00050,83,"27,31,34,36,34,37,30,36,33,32,34,40"
ELEC00051,195,"16,21,22,27,27,22,22,19,25,23,17,27"
ELEC00052,113,"38,44,46,50,48,47,49,46,42,46,43,47"
ELEC00053,152,"13,15,24,20,24,24,19,20,14,16,22,28"
ELEC00054,68,"35,37,39,40,41,43,42,35,34,33,39,42"
ELEC00055,121,"22,23,25,24,30,27,29,28,23,20,28,25"
ELEC00056,165,"31,35,38,39,40,44,41,39,37,36,36,41"
ELEC00057,122,"19,19,26,26,28,27,24,25,21,26,23,35"
ELEC00058,66,"28,32,35,40,38,37,39,40,34,34,37,37"
ELEC00059,157,"21,28,29,31,33,33,31,29,33,32,26,26"
ELEC00060,111,"28,30,36,39,39,38,34,39,29,37,30,41"
ELEC00061,194,"33,40,40,40,41,41,40,34,38,37,41,42"
ELEC00062,129,"36,42,40,45,46,41,42,41,42,34,40,48"
ELEC00063,23,"9,10,17,19,20,14,12,14,9,17,13,23"
ELEC00064,114,"24,27,33,32,33,36,32,24,26,27,34,33"
ELEC00065,144,"10,11,18,20,18,19,15,10,11,8,14,12"
ELEC00066,111,"17,24,24,25,25,29,28,24,21,22,21,28"
ELEC00067,190,"18,25,25,28,29,25,25,18,27,28,24,30"
ELEC00068,48,"39,43,43,49,47,51,46,41,43,37,44,48"
ELEC00069,66,"8,15,17,20,18,22,22,10,11,8,16,16"
ELEC00070,199,"20,22,25,28,29,27,30,24,22,27,32,24"
ELEC00071,173,"16,20,21,23,22,25,21,22,17,14,22,19"
ELEC00072,112,"12,17,19,20,15,21,21,16,13,20,16,13"
ELEC00073,72,"19,27,27,28,31,30,26,27,30,26,31,24"
ELEC00074,136,"24,27,26,31,33,32,27,28,30,25,23,26"
ELEC00075,23,"27,32,33,31,37,37,34,33,30,25,35,32"
ELEC00076,168,"24,29,30,32,29,28,32,28,28,32,36,36"
ELEC00077,111,"19,23,27,25,23,23,28,20,25,20,20,19"
ELEC00078,179,"37,40,42,43,45,44,43,39,40,42,41,41"
ELEC00079,193,"18,23,26,24,24,28,20,25,24,19,22,22"
ELEC00080,134,"25,28,27,33,32,31,32,25,22,24,28,29"
ELEC00081,84,"28,35,36,35,36,38,34,33,30,37,30,44"
ELEC00082,23,"14,13,20,18,22,21,21,18,19,18,14,22"
ELEC00083,132,"17,21,24,28,30,24,27,23,24,26,25,33"
ELEC00084,44,"11,17,17,21,18,22,15,20,18,16,19,16"
ELEC00085,118,"27,34,35,38,33,36,33,35,30,36,36,34"
ELEC00086,43,"30,33,38,34,40,37,36,33,34,32,37,34"
ELEC00087,21,"29,36,34,37,41,43,37,38,39,34,31,44"
ELEC00088,183,"13,12,16,18,18,21,12,9,13,18,15,15"
ELEC00089,144,"35,43,43,46,48,46,44,45,41,43,38,54"
ELEC00090,136,"21,25,26,25,30,24,27,21,18,19,24,23"
ELEC00091,198,"35,37,37,39,41,40,40,32,43,32,41,41"
ELEC00092,22,"21,25,31,32,34,27,30,27,32,25,30,29"
ELEC00093,71,"15,22,19,22,22,25,24,24,25,17,29,27"
ELEC00094,171,"39,40,46,47,47,43,41,41,40,36,45,41"
ELEC00095,48,"13,14,19,18,18,16,13,18,14,18,18,24"
ELEC00096,31,"36,42,43,48,49,50,49,43,46,46,48,39"
ELEC00097,89,"29,32,32,35,37,36,33,36,37,34,33,39"
ELEC00098,136,"37,38,42,43,44,42,45,36,36,42,40,39"
ELEC00099,84,"22,26,26,30,28,26,25,24,23,26,23,30"
ELEC00100,187,"16,19,20,18,21,21,20,17,18,20,24,16"
ELEC00101,150,"11,16,15,18,15,18,15,16,12,13,19,22"
ELEC00102,198,"19,20,23,29,24,30,25,21,17,19,25,24"
ELEC00103,98,"39,44,43,45,48,45,41,44,44,48,43,48"
ELEC00104,72,"21,21,29,29,29,25,27,26,23,27,23,30"
ELEC00105,21,"24,28,32,36,38,37,35,32,24,29,32,30"
ELEC00106,146,"33,37,40,43,39,41,41,39,43,41,35,47"
ELEC00107,29,"39,43,45,43,42,49,42,45,42,39,39,46"
ELEC00108,151,"35,34,36,39,39,36,40,35,36,31,45,37"
ELEC00109,94,"11,18,22,23,22,20,21,17,13,20,24,28"
ELEC00110,200,"40,41,43,44,46,41,47,42,44,42,47,40"
ELEC00111,112,"34,37,42,43,44,45,42,38,33,39,42,46"
ELEC00112,121,"22,31,34,31,36,34,33,28,27,30,35,36"
ELEC00113,133,"26,30,31,32,31,29,30,28,30,26,26,30"
ELEC00114,109,"24,28,35,39,37,32,32,30,26,34,34,33"
ELEC00115,41,"13,20,22,20,24,22,19,17,19,17,17,21"
ELEC00116,64,"37,39,43,46,46,43,44,44,41,39,43,49"
ELEC00117,131,"16,20,22,22,22,20,15,21,23,22,28,27"
ELEC00118,75,"25,27,28,30,32,29,33,34,33,22,31,31"
ELEC00119,181,"13,16,19,24,26,21,23,18,19,13,19,17"
ELEC00120,107,"17,21,23,25,27,30,26,19,27,16,23,31"
ELEC00121,159,"21,25,26,29,32,23,26,21,27,30,23,32"
ELEC00122,119,"31,39,37,39,37,43,36,38,39,39,43,47"
ELEC00123,177,"12,15,20,26,26,21,17,19,15,16,22,30"
ELEC00124,143,"21,23,27,27,30,29,26,24,19,24,23,33"
ELEC00125,91,"16,25,23,25,27,25,28,22,23,20,27,31"
ELEC00126,32,"18,17,20,25,21,23,19,25,25,21,26,29"
ELEC00127,150,"38,40,45,48,47,45,49,44,44,46,45,50"
ELEC00128,168,"36,36,43,42,42,42,43,41,44,34,45,49"
ELEC00129,85,"39,42,42,45,46,43,41,47,45,46,45,40"
ELEC00130,112,"13,15,23,20,23,19,16,23,18,21,22,25"
ELEC00131,150,"18,20,26,25,24,29,23,24,20,17,32,29"
ELEC00132,116,"29,30,36,36,37,39,34,34,35,37,38,38"
ELEC00133,105,"19,25,26,30,28,27,28,20,27,23,27,30"
